time;SP;pSP;IPG1G2;IPG1;pG1P;IPG2;pG2P;SC;pSC;ICG1G2;ICG1;pG1C;ICG2;pG2C;N;...17;file;dSP;gammaPG1;dIPG1;gammaPG2;dIPG2;dSC;gammaCG1;dICG1;gammaCG2;dICG2;psiG1;FG1;psiG2;FG2;pi;FGB;c;kappa;sigma;eul;demog_feedback;vanish_threshold;pBc;pBp;pGc;pGp;fc
50;19.1867;0.886807;0;2.44902;0.113193;0;0;25.7287;1;0;0;0;0;0;47.3644;NA;./competition_output_1006;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.578947;1;0;1e-4;1;1e-7;0;0.11319336726487494;0;0;0.5432075567303712
100;11.5871;0.783486;0;3.20207;0.216514;0;0;22.799;1;0;0;0;0;0;37.5882;NA;./competition_output_1006;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.578947;1;0;1e-4;1;1e-7;0;0.21651451704186242;0;0;0.6065467354116452
1000;0.69604;0.961741;0;0.027689;0.0382589;0;0;9.392;1;0;0;0;0;0;10.1157;NA;./competition_output_1006;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.578947;1;0;1e-4;1;1e-7;0;0.038258795764713034;0;0;0.9284577439030417
109305;0.047478;0.0576312;0;0.776347;0.942369;0;0;8.86828e-4;1;0;0;0;0;0;0.824712;NA;./competition_output_1006;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.578947;1;0;1e-4;1;1e-7;0;0.9423688283312597;0;0;0.0010753184141858007
0;29.8801;0.963846;0;0;0;1.1208;0.0361538;29.8788;0.963858;0;0;0;1.12036;0.0361417;62;NA;./competition_output_1007;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.578947;1;0;1e-4;1;1e-7;0;0;0.03614162448272792;0.03615378908354274;0.4999864516129032
10;26.429;0.929876;0;0;0;1.99307;0.070124;27.1322;0.920337;0;0;0;2.34851;0.0796627;57.9028;NA;./competition_output_1007;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.578947;1;0;1e-4;1;1e-7;0;0;0.07966259971350757;0.07012402685659419;0.5091413541314065
50;8.46764;0.52801;0;0;0;7.56926;0.47199;9.4672;0.458705;0;0;0;11.1718;0.541295;36.6759;NA;./competition_output_1007;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.578947;1;0;1e-4;1;1e-7;0;0;0.5412956054072388;0.47199022254924583;0.5627401099904842
100;1.12877;0.172024;0;0;0;5.43293;0.827976;1.34613;0.112682;0;0;0;10.6001;0.887318;18.5079;NA;./competition_output_1007;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.578947;1;0;1e-4;1;1e-7;0;0;0.8873175888962459;0.8279759818339759;0.6454665305085936
1000;0.0068137;0.0264798;0;0;0;0.250503;0.97352;0.0417695;0.0230642;0;0;0;1.76924;0.976936;2.06833;NA;./competition_output_1007;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.578947;1;0;1e-4;1;1e-7;0;0;0.9769357918884467;0.9735201796074644;0.8755902104596461
168511;0.0473687;0.0530691;0;0;0;0.845217;0.946931;1.23285e-4;0.0542037;0;0;0;0.00215119;0.945796;0.89486;NA;./competition_output_1007;1;1;1;1;1;1;1;1;1;1;20;6;20;10;1;16;0.578947;1;0;1e-4;1;1e-7;0;0;0.9457962826586356;0.9469309221512286;0.002541710435151867
