time;Sp;Ipg1;Ipg2;Sc;Icg1;Icg2;N;
2580;0.722778;184.378;383.456;0.361929;1.58822;215.354;785.861;
2590;0.72325;184.009;384.22;0.361071;1.5698;215.01;785.894;
2600;0.723723;183.642;384.982;0.360216;1.55159;214.666;785.925;
2610;0.724194;183.275;385.742;0.359364;1.53358;214.322;785.957;
2620;0.724666;182.91;386.5;0.358515;1.51578;213.979;785.988;
2630;0.725136;182.546;387.257;0.357668;1.49819;213.635;786.019;
2640;0.725606;182.184;388.011;0.356825;1.4808;213.292;786.05;
2650;0.726076;181.822;388.764;0.355983;1.46361;212.949;786.081;
2660;0.726545;181.462;389.515;0.355145;1.44662;212.606;786.111;
2670;0.727013;181.103;390.264;0.354309;1.42983;212.263;786.141;
2680;0.727481;180.745;391.012;0.353476;1.41322;211.92;786.171;
2690;0.727948;180.388;391.757;0.352646;1.39681;211.578;786.2;
2700;0.728414;180.032;392.501;0.351818;1.38059;211.235;786.23;
2710;0.72888;179.678;393.243;0.350993;1.36455;210.893;786.259;
2720;0.729346;179.325;393.984;0.35017;1.3487;210.551;786.288;
2730;0.729811;178.973;394.722;0.34935;1.33303;210.209;786.316;
2740;0.730275;178.622;395.459;0.348533;1.31755;209.868;786.345;
2750;0.730739;178.272;396.195;0.347718;1.30224;209.526;786.373;
2760;0.731202;177.924;396.928;0.346905;1.2871;209.185;786.402;
2770;0.731665;177.576;397.66;0.346096;1.27215;208.844;786.43;
2780;0.732127;177.23;398.39;0.345288;1.25736;208.503;786.457;
2790;0.732588;176.885;399.118;0.344484;1.24274;208.162;786.485;
2800;0.733049;176.541;399.845;0.343681;1.2283;207.822;786.513;
2810;0.73351;176.198;400.57;0.342882;1.21402;207.482;786.54;
2820;0.733969;175.857;401.293;0.342084;1.1999;207.142;786.567;
2830;0.734429;175.516;402.014;0.341289;1.18595;206.802;786.594;
2840;0.734887;175.177;402.734;0.340497;1.17216;206.462;786.621;
2850;0.735345;174.839;403.453;0.339707;1.15853;206.123;786.648;
2860;0.735803;174.502;404.169;0.338919;1.14505;205.784;786.675;
2870;0.73626;174.166;404.884;0.338134;1.13173;205.445;786.701;
2880;0.736716;173.832;405.597;0.337351;1.11857;205.106;786.728;
2890;0.737172;173.498;406.309;0.336571;1.10555;204.768;786.754;
2900;0.737627;173.166;407.019;0.335793;1.09269;204.429;786.78;
2910;0.738082;172.834;407.727;0.335017;1.07997;204.092;786.806;
2920;0.738536;172.504;408.434;0.334243;1.06741;203.754;786.832;
2930;0.73899;172.175;409.139;0.333472;1.05498;203.416;786.858;
2940;0.739443;171.847;409.842;0.332704;1.0427;203.079;786.883;
2950;0.739895;171.52;410.544;0.331937;1.03057;202.742;786.909;
2960;0.740347;171.195;411.244;0.331173;1.01857;202.406;786.935;
2970;0.740798;170.87;411.943;0.330411;1.00671;202.069;786.96;
2980;0.741249;170.546;412.64;0.329651;0.994989;201.733;786.985;
2990;0.741699;170.224;413.335;0.328894;0.983404;201.397;787.01;
3000;0.742148;169.903;414.029;0.328139;0.971952;201.061;787.035;
3010;0.742597;169.582;414.722;0.327386;0.960632;200.726;787.06;
3020;0.743046;169.263;415.412;0.326635;0.949444;200.391;787.085;
3030;0.743494;168.945;416.101;0.325886;0.938385;200.056;787.11;
3040;0.743941;168.628;416.789;0.32514;0.927453;199.721;787.135;
3050;0.744388;168.312;417.475;0.324396;0.916649;199.387;787.16;
3060;0.744834;167.997;418.159;0.323654;0.905969;199.053;787.184;
3070;0.74528;167.683;418.842;0.322914;0.895413;198.719;787.209;
3080;0.745725;167.371;419.524;0.322176;0.884979;198.386;787.233;
3090;0.746169;167.059;420.203;0.321441;0.874665;198.053;787.257;
3100;0.746613;166.748;420.882;0.320707;0.864471;197.72;787.282;
3110;0.747056;166.439;421.558;0.319976;0.854395;197.387;787.306;
3120;0.747499;166.13;422.233;0.319247;0.844436;197.055;787.33;
3130;0.747941;165.823;422.907;0.31852;0.834592;196.723;787.354;
3140;0.748383;165.517;423.579;0.317795;0.824862;196.391;787.378;
3150;0.748824;165.211;424.25;0.317072;0.815245;196.06;787.402;
3160;0.749265;164.907;424.919;0.316351;0.805739;195.729;787.426;
3170;0.749704;164.604;425.586;0.315632;0.796343;195.398;787.449;
3180;0.750144;164.301;426.253;0.314915;0.787056;195.067;787.473;
3190;0.750583;164;426.917;0.314201;0.777877;194.737;787.497;
3200;0.751021;163.7;427.58;0.313488;0.768804;194.407;787.52;
3210;0.751459;163.401;428.242;0.312777;0.759836;194.077;787.544;
3220;0.751896;163.102;428.902;0.312068;0.750972;193.748;787.567;
3230;0.752332;162.805;429.56;0.311362;0.742211;193.419;787.591;
3240;0.752768;162.509;430.218;0.310657;0.733551;193.09;787.614;
3250;0.753204;162.214;430.873;0.309954;0.724992;192.762;787.637;
3260;0.753638;161.92;431.527;0.309254;0.716531;192.434;787.661;
3270;0.754073;161.627;432.18;0.308555;0.708169;192.106;787.684;
3280;0.754506;161.334;432.831;0.307858;0.699904;191.779;787.707;
3290;0.754939;161.043;433.481;0.307163;0.691735;191.452;787.73;
3300;0.755372;160.753;434.13;0.30647;0.683661;191.125;787.753;
3310;0.755804;160.464;434.776;0.305779;0.67568;190.798;787.776;
3320;0.756235;160.176;435.422;0.30509;0.667791;190.472;787.799;
3330;0.756666;159.888;436.066;0.304403;0.659995;190.146;787.822;
3340;0.757097;159.602;436.708;0.303717;0.652288;189.821;787.844;
3350;0.757526;159.317;437.35;0.303034;0.644671;189.495;787.867;
3360;0.757956;159.033;437.989;0.302352;0.637143;189.171;787.89;
3370;0.758384;158.749;438.628;0.301673;0.629702;188.846;787.912;
3380;0.758812;158.467;439.264;0.300995;0.622347;188.522;787.935;
3390;0.75924;158.185;439.9;0.300319;0.615077;188.198;787.958;
3400;0.759667;157.905;440.534;0.299645;0.607892;187.874;787.98;
3410;0.760093;157.625;441.166;0.298973;0.600791;187.551;788.002;
3420;0.760519;157.347;441.798;0.298302;0.593771;187.228;788.025;
3430;0.760944;157.069;442.427;0.297634;0.586834;186.906;788.047;
3440;0.761368;156.792;443.056;0.296967;0.579977;186.583;788.07;
3450;0.761793;156.516;443.683;0.296302;0.573199;186.261;788.092;
3460;0.762216;156.242;444.308;0.295639;0.5665;185.94;788.114;
3470;0.762639;155.968;444.933;0.294977;0.559879;185.619;788.136;
3480;0.763061;155.695;445.555;0.294318;0.553335;185.298;788.158;
3490;0.763483;155.423;446.177;0.29366;0.546867;184.977;788.18;
3500;0.763904;155.151;446.797;0.293004;0.540474;184.657;788.203;
3510;0.764325;154.881;447.415;0.292349;0.534155;184.337;788.225;
3520;0.764745;154.612;448.033;0.291697;0.52791;184.018;788.246;
3530;0.765165;154.343;448.649;0.291046;0.521737;183.698;788.268;
3540;0.765584;154.076;449.263;0.290397;0.515636;183.38;788.29;
3550;0.766002;153.809;449.876;0.28975;0.509606;183.061;788.312;
3560;0.76642;153.544;450.488;0.289104;0.503646;182.743;788.334;
3570;0.766837;153.279;451.099;0.28846;0.497756;182.425;788.356;
3580;0.767254;153.015;451.708;0.287818;0.491933;182.108;788.377;
3590;0.76767;152.752;452.316;0.287177;0.486179;181.791;788.399;
3600;0.768086;152.49;452.922;0.286538;0.480491;181.474;788.421;
3610;0.768501;152.228;453.527;0.285901;0.47487;181.158;788.442;
3620;0.768915;151.968;454.131;0.285266;0.469314;180.841;788.464;
