time;Sp;Ipg1;Ipg2;Sc;Icg1;Icg2;N;
3420;0.5894;1.29066e-05;526.506;0.405115;1.39864e-07;361.797;889.297;
3430;0.589987;1.2294e-05;527.04;0.404528;1.32267e-07;361.279;889.313;
3440;0.590574;1.17106e-05;527.573;0.403941;1.25083e-07;360.761;889.329;
3450;0.59116;1.11549e-05;528.107;0.403355;1.18289e-07;360.244;889.345;
3460;0.591746;1.06257e-05;528.64;0.402769;1.11864e-07;359.727;889.361;
3470;0.592332;1.01216e-05;529.172;0.402183;1.05788e-07;359.21;889.377;
3480;0.592918;9.64142e-06;529.705;0.401598;1.00042e-07;358.694;889.393;
3490;0.593503;9.1841e-06;530.237;0.401013;9.46079e-08;358.178;889.409;
3500;0.594088;8.74851e-06;530.769;0.400428;8.94689e-08;357.662;889.425;
3510;0.594672;8.33362e-06;531.3;0.399844;8.4609e-08;357.146;889.441;
3520;0.595256;7.93845e-06;531.831;0.39926;8.00131e-08;356.631;889.457;
3530;0.59584;7.56205e-06;532.362;0.398676;7.56668e-08;356.116;889.473;
3540;0.596423;7.20352e-06;532.893;0.398093;7.15565e-08;355.602;889.489;
3550;0.597006;6.86203e-06;533.423;0.39751;6.76694e-08;355.087;889.505;
3560;0.597588;6.53676e-06;533.953;0.396928;6.39935e-08;354.573;889.521;
3570;0.598171;6.22694e-06;534.483;0.396346;6.05172e-08;354.059;889.537;
3580;0.598752;5.93183e-06;535.012;0.395764;5.72297e-08;353.546;889.552;
3590;0.599334;5.65073e-06;535.541;0.395183;5.41207e-08;353.033;889.568;
3600;0.599915;5.38297e-06;536.069;0.394602;5.11807e-08;352.52;889.584;
3610;0.600495;5.12793e-06;536.598;0.394021;4.84003e-08;352.008;889.6;
